<tdmsfile>
#17:ph08[1003]
나트륨	나트륨/ncn
원자가	원자/ncn+가/jcs
좀더	좀더/mag
높은	높/paa+은/etm
에너지상태인	에너지/ncn+상태/ncn+이/jp+ㄴ/etm
501007590       <                       </sl
b	b/f
>	>/sr
들뜬상태	들뜨/pvg+ㄴ/etm+상태/ncn
501007630       </                      </sl+//sp
b	b/f
>	>/sr
가	가/jcc
되기	되/pvg+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
외부로부터	외부/ncn+로/jca+부터/jxc
에너지를	에너지/ncn+를/jco
흡수해야	흡수/ncpa+하/xsv+어야/ecs
한다	하/px+ㄴ다/ef
.	./sf
#17:ph08[912]
또한	또한/maj
식	식/ncn
(	(/sl
8	8/nno
-	-/sd
27	27/nno
)	)/sr
로부터	로/jca+부터/jxc
일	일/ncn
-	-/sd
운동	운동/ncn
에너지	에너지/ncn
정리가	정리/ncn+가/jcs
501007870       <                        </sl
TEX	TEX/f
>$(	>/sr+$/su+(/sl
W_	W/f+_/sy
{	{/sl
f	f/f
}=\	}/sr+=/sy+\/sp
Delta	Delta/f
K	K/f
501007960       )$</                    )/sr+$/su+</sl+//sp
TEX	TEX/f
>	>/sr
미끄러지는	미끄러지/pvg+는/etm
토막에	토막/ncn+에/jca
대해	대하/pvg+어/ecs
성립하지	성립/ncpa+하/xsv+지/ecx
않음을	않/px+음/etn+을/jco
명백하게	명백/ncps+하/xsm+게/ecs
알	알/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
#17:ph08[910]
이	이/mmd
경우	경우/ncn
마찰력에	마찰/ncn+력/xsn+에/jca
의해	의하/pvg+어/ecs
손실된	손실/ncpa+되/xsv+ㄴ/etm
에너지는	에너지/ncn+는/jxc
-	-/sd
100	100/nnc
J	J/su
이며	이/jp+며/ecc
,	,/sp
이	이/mmd
힘이	힘/ncn+이/jcs
해준	하/pvg+어/ecx+주/px+ㄴ/etm
일은	일/ncn+은/jxc
식	식/ncn
(	(/sl
8	8/nno
-	-/sd
27	27/nno
)	)/sr
에	에/jca
의해	의하/pvg+어/ecs
-	-/sd
60	60/nnc
J	J/su
이	이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
#17:ph08[877]
이	이/mmd
개념을	개념/ncn+을/jco
좀	좀/mag
더	더/mag
확장하면	확장/ncpa+하/xsv+면/ecs
일률이란	일률/ncn+이/jp+라/ef+ㄴ/etm
에너지가	에너지/ncn+가/jcs
하나의	하나/ncn+의/jcm
형태에서	형태/ncn+에서/jca
다른	다르/paa+ㄴ/etm
형태로	형태/ncn+로/jca
변해	변하/pvg+어/ecx
가는	가/px+는/etm
비율로	비율/ncn+로/jca
정의될	정의/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
#17:ph08[860]
때에	때/ncn+에/jca
따라서	따르/pvg+아서/ecs
주위와	주위/ncn+와/jcj
고립되어	고립/ncpa+되/xsv+어/ecx
있지	있/px+지/ecx
않은	않/px+은/etm
계를	계/ncn+를/jco
다루는	다루/pvg+는/etm
것이	것/nbn+이/jcs
편리하지만	편리/ncps+하/xsm+지만/ecs
꼭	꼭/mag
여기에	여기/npd+에/jca
제한을	제한/ncn+을/jco
받아야	받/pvg+아야/ecs
되는	되/pvg+는/etm
것은	것/nbn+은/jxc
아니다	아니/paa+다/ef
.	./sf
#17:ph08[838]
만약	만약/mag
입자를	입자/ncn+를/jco
이	이/mmd
위치에서	위치/ncn+에서/jca
오른쪽	오른쪽/ncn
또는	또는/maj
왼쪽으로	왼쪽/ncn+으로/jca
조금	조금/mag
밀어주면	밀/pvg+어/ecx+주/px+면/ecs
입자에는	입자/ncn+에/jca+는/jxc
원위치로	원위치/ncn+로/jca
되돌려	되돌리/pvg+어/ecs
보내려고	보내/pvg+려고/ecs
하는	하/pvg+는/etm
복원력이	복원/ncn+력/xsn+이/jcs
작용하게	작용/ncpa+하/xsv+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
#17:ph08[834]
하지만	하지만/maj
조금이라도	조금/ncn+이라도/jxc
어느	어느/mmd
한	한/nnc
방향으로	방향/ncn+으로/jca
움직이면	움직이/pvg+면/ecs
입자에	입자/ncn+에/jca
변위와	변위/ncn+와/jct
같은	같/paa+은/etm
방향으로	방향/ncn+으로/jca
힘이	힘/ncn+이/jcs
작용하기	작용/ncpa+하/xsv+기/etn
때문에	때문/nbn+에/jca
물체는	물체/ncn+는/jxc
계속해서	계속/ncpa+하/xsv+어서/ecs
움직이게	움직이/pvg+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
#17:ph08[804]
1	1/nnc
차원	차원/ncn
운동에서	운동/ncn+에서/jca
물체가	물체/ncn+가/jcs
501009140       <                       </sl
TEX	TEX/f
>$\	>/sr+$/su+\/sp
Delta	Delta/f
x	x/f
501009190       $</                     $/su+</sl+//sp
TEX	TEX/f
>	>/sr
의	의/jcm
거리를	거리/ncn+를/jco
이동했을	이동/ncpa+하/xsv+었/ep+을/etm
때	때/ncn
그	그/mmd
물체에	물체/ncn+에/jca
가해진	가하/pvg+어/ecx+지/px+ㄴ/etm
힘이	힘/ncn+이/jcs
한	하/pvg+ㄴ/etm
일은	일/ncn+은/jxc
501009320       <                       </sl
TEX	TEX/f
>$	>/sr+$/sp+//sp
F	F/f
(	(/sl
x	x/f
)\	)/sr+\/sp
Delta	Delta/f
x	x/f
501009410       $</                     $/su+</sl+//sp
TEX	TEX/f
>	>/sr
로	로/jca
주어진다	주/pvg+어/ecx+지/px+ㄴ다/ef
.	./sf
#17:ph08[797]
그림	그림/ncn
(	(/sl
8	8/nno
-	-/sd
1	1/nno
b	b/f
)	)/sr
와	와/jct
같이	같/paa+이/xsa
이	이/mmd
입자가	입자/ncn+가/jcs
계단식	계단/ncn+식/xsn
경로를	경로/ncn+를/jco
따라	따르/pvg+아/ecs
i	i/f
에서	에서/jca
f	f/f
로	로/jca
이동하였다면	이동/ncpa+하/xsv+었/ep+다/ef+면/ecs
가로경로들에	가로/ncn+경로/ncn+들/xsn+에/jca
대해	대하/pvg+어/ecs
mg	mg/f
가	가/jcs
해준	하/pvg+어/ecx+주/px+ㄴ/etm
일은	일/ncn+은/jxc
없다	없/paa+다/ef
.	./sf
#17:ph08[615]
그림	그림/ncn
(	(/sl
8	8/nno
-	-/sd
5	5/nno
)	)/sr
는	는/jxc
토막이	토막/ncn+이/jcs
왕복운동을	왕복/ncn+운동/ncn+을/jco
하는	하/pvg+는/etm
운동의	운동/ncn+의/jcm
한	한/nnc
주기	주기/ncn
동안	동안/ncn
어떻게	어떻/pad+게/ecs
에너지가	에너지/ncn+가/jcs
용수철과	용수철/ncn+과/jcj
토막	토막/ncn
사이에서	사이/ncn+에서/jca
앞뒤로	앞/ncn+뒤/ncn+로/jca
왕복하는지	왕복/ncpa+하/xsv+는지/ecs
보여준다	보이/pvg+어/ecx+주/px+ㄴ다/ef
.	./sf
#17:ph08[317]
만약	만약/mag
입자를	입자/ncn+를/jco
이	이/mmd
위치에서	위치/ncn+에서/jca
오른쪽	오른쪽/ncn
또는	또는/maj
왼쪽으로	왼쪽/ncn+으로/jca
조금	조금/mag
밀어주면	밀/pvg+어/ecx+주/px+면/ecs
입자에는	입자/ncn+에/jca+는/jxc
원위치로	원위치/ncn+로/jca
되돌려	되돌리/pvg+어/ecs
보내려고	보내/pvg+려고/ecs
하는	하/pvg+는/etm
복원력이	복원/ncn+력/xsn+이/jcs
작용하게	작용/ncpa+하/xsv+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
#17:ph08[313]
하지만	하지만/maj
조금이라도	조금/ncn+이라도/jxc
어느	어느/mmd
한	한/nnc
방향으로	방향/ncn+으로/jca
움직이면	움직이/pvg+면/ecs
입자에	입자/ncn+에/jca
변위와	변위/ncn+와/jct
같은	같/paa+은/etm
방향으로	방향/ncn+으로/jca
힘이	힘/ncn+이/jcs
작용하기	작용/ncpa+하/xsv+기/etn
때문에	때문/nbn+에/jca
물체는	물체/ncn+는/jxc
계속해서	계속/ncpa+하/xsv+어서/ecs
움직이게	움직이/pvg+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
#17:ph08[283]
1	1/nnc
차원	차원/ncn
운동에서	운동/ncn+에서/jca
물체가	물체/ncn+가/jcs
501010370       <                       </sl
TEX	TEX/f
>$\	>/sr+$/su+\/sp
Delta	Delta/f
x	x/f
501010420       $</                     $/su+</s;+//sp
TEX	TEX/f
>	>/sr
의	의/jcm
거리를	거리/ncn+를/jco
이동했을	이동/ncpa+하/xsv+었/ep+을/etm
때	때/ncn
그	그/mmd
물체에	물체/ncn+에/jca
가해진	가하/pvg+어/ecx+지/px+ㄴ/etm
힘이	힘/ncn+이/jcs
한	하/pvg+ㄴ/etm
일은	일/ncn+은/jxc
501010550       <                       </sl
TEX	TEX/f
>$	>/sr+$/su
F	F/f
(	(/sl
x	x/f
)\	)/sr+\/sp
Delta	Delta/f
x	x/f
501010640       $</                     $/su+</sl+//sp
TEX	TEX/f
>	>/sr
로	로/jca
주어진다	주/pvg+어/ecx+지/px+ㄴ다/ef
.	./sf
#17:ph08[276]
그림	그림/ncn
(	(/sl
8	8/nno
-	-/sd
1	1/nno
b	b/f
)	)/sr
와	와/jct
같이	같/paa+이/xsa
이	이/mmd
입자가	입자/ncn+가/jcs
계단식	계단/ncn+식/xsn
경로를	경로/ncn+를/jco
따라	따르/pvg+아/ecs
i	i/f
에서	에서/jca
f	f/f
로	로/jca
이동하였다면	이동/ncpa+하/xsv+었/ep+다/ef+면/ecs
가로경로들에	가로/ncn+경로/ncn+들/xsn+에/jca
대해	대하/pvg+어/ecs
mg	mg/f
가	가/jcs
해준	하/pvg+어/ecx+주/px+ㄴ/etm
일은	일/ncn+은/jxc
없다	없/paa+다/ef
.	./sf
#17:ph08[94]
그림	그림/ncn
(	(/sl
8	8/nno
-	-/sd
5	5/nno
)	)/sr
는	는/jxc
토막이	토막/ncn+이/jcs
왕복운동을	왕복/ncn+운동/ncn+을/jco
하는	하/pvg+는/etm
운동의	운동/ncn+의/jcm
한	한/nnc
주기	주기/ncn
동안	동안/ncn
어떻게	어떻/pad+게/ecs
에너지가	에너지/ncn+가/jcs
용수철과	용수철/ncn+과/jcj
토막	토막/ncn
사이에서	사이/ncn+에서/jca
앞뒤로	앞/ncn+뒤/ncn+로/jca
왕복하는지	왕복/ncpa+하/xsv+는지/ecs
보여준다	보이/pvg+어/ecx+주/px+ㄴ다/ef
.	./sf
#17:ph07[516]
만일	만일/mag
x	x/f
축의	축/ncn+의/jcm
원점을	원점/ncn+을/jco
용수철이	용수철/ncn+이/jcs
가만히	가만/ncn+히/xsa
있는	있/paa+는/etm
상태에	상태/ncn+에/jca
있을	있/paa+을/etm
때의	때/ncn+의/jcm
위치로	위치/ncn+로/jca
본다면	보/pvg+ㄴ다/ef+면/ecs
식	식/ncn
(	(/sl
7	7/nno
-	-/sd
15	15/nno
)	)/sr
는	는/jxc
다음과	다음/ncn+과/jct
같이	같/paa+이/xsa
쓰여질	쓰이/pvg+어/ecx+지/px+ㄹ/etm
