
<tdmsfile>

머리는	머리/ncn+는/jxc
작고	작/paa+고/ecc
배가	배/ncn+가/jcs
부르며	부르/pvg+며/ecc
,	,/sp,
꼬리는	꼬리/ncn+는/jxc
뾰족하고	뾰족/ncps+하/xsm+고/ecc
꼬리지느러미는	꼬리/ncn+지느러미/ncn+는/jxc
끝이	끝/ncn+이/jcs
둘로	둘/nnc+로/jca
갈라진다	가르/pvg+아/ecx+지/px+ㄴ다/ef
.	./sf

몸의	몸/ncn+의/jcm
생긴	생기/pvg+ㄴ/etm
모양이	모양/ncn+이/jcs
돼지	돼지/ncn
새끼와	새끼/ncn+와/jct
비슷하다고	비슷/ncps+하/xsm+다/ef+고/jcr
해서	하/pvg+어서/ecs
돗고기라는	돗고기/ncn+라/ef+는/etm
이름이	이름/ncn+이/jcs
붙은	붙/pvg+은/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

서유구가	서유구/nq+가/jcs
기록한	기록/ncpa+하/xsv+ㄴ/etm
돗고기란	돗고기/ncn+란/jxc
어떤	어떤/mmd
물고기인가	물고기/ncn+이/jp+ㄴ가/ef
?	?/sf
20	20/nno
세기	세기/nbu
후반에	후반/ncn+에/jca
사는	살/pvg+는/etm
우리들은	우리/npp+들/xsn+은/jxc
이	이/mmd
글을	글/ncn+을/jco
읽고	읽/pvg+고/ecc
놀라움을	놀랍/paa+ㅁ/xsn+을/jco
금할	금하/pvg+ㄹ/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf

우리가	우리/npp+가/jcs
이런	이런/mmd
조상을	조상/ncn+을/jco
가졌다는	가지/pvg+었/ep+다/ef+는/etm
사실이	사실/ncn+이/jcs
자랑스럽고	자랑/ncps+스럽/xsm+고/ecc
,	,/sp,
긍지와	긍지/ncn+와/jcj
자부를	자부/ncn+를/jco
느낀다	느끼/pvg+ㄴ다/ef
.	./sf

첫째	첫째/nno
그분은	그/mmd+분/nbn+은/jxc
이	이/mmd
세상에서	세상/ncn+에서/jca
가장	가장/mag
먼저	먼저/mag
그	그/mmd
물고기에	물고기/ncn+에/jca
대하여	대하/pvg+어/ecs
기록을	기록/ncn+을/jco
한	하/pvg+ㄴ/etm
