<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0177.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0177.txt </filename>
<title>생각하는 물리 </title>
<author>박성식  </author>
<date>1995  </date>
<publisher>도솔  </publisher>
<kdc>420  </kdc>
<ddc>530  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
우리는	우리/npp+는/jxc
어릴	어리/paa+ㄹ/etm
때부터	때/ncn+부터/jxc
1	1/nnc
더하기	더하/pvg+기/etn
1	1/nnc
은	은/jxc
2	2/nnc
이고	이/jp+고/ecc
,	,/sp
2	2/nnc
더하기	더하/pvg+기/etn
2	2/nnc
는	는/jxc
4	4/nnc
라고	라고/ecs
배웠다	배우/pvg+었/ep+다/ef
.	./sf
그러나	그러나/maj
자연	자연/ncn
현상을	현상/ncn+을/jco
설명할	설명/ncpa+하/xsv+ㄹ/etm
때는	때/ncn+는/jxc
이런	이런/mmd
덧셈법만으로는	덧셈/ncn+법/ncn+만/jxc+으로/jca+는/jxc
부족한	부족/ncps+하/xsm+ㄴ/etm
경우가	경우/ncn+가/jcs
많다	많/paa+다/ef
.	./sf
그래서	그래서/maj
과학자들은	과학/ncn+자/xsn+들/xsn+은/jxc
여러	여러/mma
가지	가지/nbu
종류의	종류/ncn+의/jcm
덧셈법을	덧셈/ncn+법/ncn+을/jco
만들어	만들/pvg+어/ecs
수많은	수많/paa+은/etm
자연	자연/ncn
현상을	현상/ncn+을/jco
명쾌하게	명쾌/ncps+하/xsm+게/ecs
설명하는	설명/ncpa+하/xsv+는/etm
데	데/nbn
사용하였다	사용/ncpa+하/xsv+였/ep+다/ef
.	./sf
여기서	여기/npd+서/jca
설명할	설명/ncpa+하/xsv+ㄹ/etm
2	2/nnc
차원	차원/nbu
벡터	벡터/ncn
덧셈법도	덧셈/ncn+법/ncn+도/jxc
그	그/npd
중	중/nbn
하나다	하나/ncn+다/ef
.	./sf
그러면	그러면/maj
일상적인	일상/ncn+적/xsn+이/jp+ㄴ/etm
운동에서	운동/ncn+에서/jca
가장	가장/mag
흔한	흔하/paa+ㄴ/etm
속도	속도/ncn
덧셈을	덧셈/ncn+을/jco
예로	예/ncn+로/jca
들어	들/pvg+어/ecx
2	2/nnc
차원	차원/nbu
벡터	벡터/ncn
덧셈법에	덧셈/ncn+법/ncn+에/jca
대해	대하/pvg+어/ecx
알아보자	알/pvg+아/ecx+보/px+자/ef
.	./sf
다음	다음/ncn
상황을	상황/ncn+을/jco
차분히	차분/ncn+히/xsa
생각해	생각/ncpa+하/xsv+어/ecx
보자	보/px+자/ef
.	./sf
폭이	폭/ncn+이/jcs
1	1/nnc
km	km/su
되는	되/pvg+는/etm
강을	강/ncn+을/jco
보트로	보트/ncn+로/jca
건너려고	건너/pvg+려고/ecs
한다	하/px+ㄴ다/ef
.	./sf
이	이/mmd
보트의	보트/ncn+의/jcm
최대	최대/ncn
속력은	속력/ncn+은/jxc
시속	시속/ncn
20	20/nnc
km	km/su
다	다/ef
.	./sf
강물이	강물/ncn+이/jcs
흐르지	흐르/pvg+지/ecx
않는	않/px+는/etm
상황이라면	상황/ncn+이/jp+라면/ecs
강을	강/ncn+을/jco
건너는데	건너/pvg+는데/ecs
걸리는	걸리/pvg+는/etm
시간은	시간/ncn+은/jxc
거리를	거리/ncn+를/jco
속력으로	속력/ncn+으로/jca
나눈	나누/pvg+ㄴ/etm
값이다	값/ncn+이/jp+다/ef
.	./sf
따라서	따라서/maj
계산상으로는	계산/ncn+상/xsn+으로jca+는/jxc
분이면	분/nbu+이/jp+면/ecs
건널	건너/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
그렇지만	그렇지만/maj
강물은	강물/ncn+은/jxc
한	한/nnc
시간에	시간/nbu+에/jca
1	1/nnc
km	km/su
의	의/jcm
속력으로	속력/ncn+으로/jca
흐르고	흐르/pvg+고/ecx
있다	있/px+다/ef
.	./sf
그리고	그리고/maj
이	이/mmd
보트의	보트/ncn+의/jcm
연료는	연료/ncn+는/jxc
3	3/nnc
분이면	분/nbu+이/jp+면/ecs
전부	전부/ncn
바닥이	바닥/ncn+이/jcs
날	나/pvg+ㄹ/etm
